word,meaning,synonyms
abound,large numbers or amounts,
amorphous,without a clearly defined shape or form,
austere,"strict in manner, having no comforts or luxuries",
 belie,"fail to give true impression of something, contradict, fail to justify",
 capricious,"sudden change of mood, unpredictable, fickle",
 cerebral,"of the cerebrum of the brain, intellectual rather than physical",
 congenial,pleasant or agreeable because suited to one's taste,
 conspicuous,"clearly visible, attracting notice or attention",
 cursory,hasty and therefore not through or detailed,
 daunting,"difficult to deal with, discourage through fear",
 deify,worship or regard as a god,
 didactic,"instructive, particularly so as to appear patronizing",
 disseminate,spread widely,
 feasible,possible to do easily or conveniently,
 flout,"openly disregard, mock, scoff",
 homogeneous,of the same kind,
 humdrum,lacking excitement or variety; boringly monotonous,
 insipid,"tasteless, lacking interest",
 loquacious,talkative,
 misanthropic,having or showing dislike of other people,
 misnomer,a wrong or inaccurate name or designation,
 negligent,failing to take proper care over something,
 obsequious,obedient to an excessive or servile degree,
 placate,make less angry,
 proclivity,a tendency to choose or do something regularly,
 puerile,childishly silly,
 quixotic,"extremely idealistic, unrealistic, impractical",
 spendthrift,a person who spends money in an irresponsible way,
 taciturn,saying little,
 wary,feeling or showing caution about possible dangers,
 adulterate,render poorer in quality by adding another substance,
 advocate,publicly recommend or support,
 aggrandize,"increase power, status, reputation of someone",
 alacrity,brisk and cheerful readiness,
 ambivalent,having mixed feelings or contradictory ideas,
 ameliorate,make something bad better,
 amenable,"open to suggestions, easily persuaded, susceptible",
 anachronistic,belonging to a period other than that being portrayed conspicuously old-fashioned,
 audacious,"willingness to take surprisingly bold risks, showing impudent lack of respect",
 avaricious,showing extreme greed for wealth or material gain,
 banal,lacking in originality as to be obvious and boring,
 benign,"gentle and kind, not harmful to the environment",
 brazen,bold and without shame,
 calumny,false and slanderous statement about someone,
 candid,truthful and straightforward,
 castigate,reprimand severely,
 caustic,"sarcastic in a bitter way, chemical",
 construe,interpret in a particular way,
 contrite,feeling or expressing remorse that one has done wrong,
 convoluted,extremely complex and difficult to follow and twisted,
 covet,yearn to possess something belonging to another,
 craven,"lacking in courage, cowardly",
 decorum,behavior in keeping with good taste and propriety,
 deft,demonstrating skill and cleverness,
 demur,raise objections or show reluctance,
 derivative,imitative of the work of another,
 desiccate,cause to become completely dry,
 diatribe,a forceful and bitter verbal attack,
 incredulous,unwilling or unable to believe something,
 ingenuous,"innocent, naive or unsuspecting",
 abate,"become less intense or widespread, remove or reduce law",
 abjure,"solemnly renounce (a belief, cause or claim)",
 anomalous,deviating from what is standard,
 antipathy,a deep-seated feeling of aversion,
 arcane,"understood by few, mysterious or secret",
 arduous,"involving or requiring strenuous effort, tiring",
 artless,"without deception, effort or pretentiousness, natural",
 ascetic,"severe self-discipline, austere",
 assuage,"satisfy, make an unpleasant feeling less intense",
 betray,"gravely disloyal, unintentionally reveal, be evidence of",
 bucolic,relating to the pleasant aspects of the countryside,
 burgeon,"begin to grow or increase rapidly, flourish",
 cacophonous,involving or producing harsh sounds,
 canonize,"treat of great significance, place in or regard as belonging to a canon of literacy or artistic works",
 censure,"express severe disapproval, especially in formal statement",
 chicanery,use of deception or subterfuge,
 coalesce,come together to from one mass or whole,
 cogent,"clear, logical and convincing",
 compelling,evoking interest in a powerful irresistible way,
 contend,"struggle to surmount a difficulty, assert something as a position in an argument",
 copious,abundant in supply,
 cosmopolitan,mixture of cultures,
 deference,polite submission and respect,
 desultory,"lacking plan, purpose or enthusiasm, occurring randomly",
 diffident,modest or shy because of a lack of self-confidence,
 dilatory,"slow to act, intended to cause delay",
 equivocate,use ambiguous language,
 polarize,divide or cause it divide into two sharply contrasting group,
 prodigal,spending money recklessly,
 verbose,using or expressed in more words that are needed,
 abstain,restrain oneself from doing,
 approbation,approval or praise,
 cherish,protect and care for lovingly,
 corroborate,"confirm or give support to a statement, theory or finding",
 disparate,"essentially different in kind, notable to be compared, containing elements very different from one another",
 emulate,"match or surpass a person or achievement, typically by imitation",
 enervate,"make someone feel drained of energy, lacking in energy",
 ephemeral,lasting for a very short time,
 fervid,"intensely enthusiastic or passionate, especially to an excessive degree",
 garrulous,"excessively talkative, especially on trivial matters",
 incendiary,tending to stir up conflict,
 inimical,"tending to obstruct, unfriendly hostile",
 intimate,"closely acquainted, familiar, detailed or thorough",
 invigorate,give strength or energy to,
 mitigate,"make something bad less severe, serious or painful",
 obsolete,out of date,
 opaque,"unclear, not transparent",
 paradigmatic,"serving as a typical example of something, of or denoting",
 pedantic,"excessively concerned with minor details, over-scrupulous",
 placid,"not easily upset or excited, calm and peaceful",
 polemical,of or involving strongly critical writing or speech,
 precipitate,"cause to happen suddenly, unexpectedly or premature",
 profundity,great depth of insight or knowledge,
 prophetic,accurately predicting what will happen in future,
 prudent,acting with or showing care and thought for future,
 punctilious,showing great attention to detail or correct behavior,
 recondite,"little known, abstruse",
 scrupulous,"careful, thorough, and extremely attentive to details",
 tranquil,"free from disturbance, calm",
 vacillate,"waver between different opinions or actions, be indecisive",
 aloof,"not friendly, distant, detached",
 clangor,a continuously loud banging or ringing sound,
 conventional,following traditional forms and genres,
 debunk,expose the falseness or hollowness of an idea or belief,
 diminutive,extremely or unusually small,
 discernible,"able to be discerned, perceptible, visible, noticeable",
 enigmatic,"difficult to understand, mysterious",
 estranged,"no longer close to someone, alienated",
 extravagant,"excessive, elaborate",
 fanciful,"over-imaginative, unrealistic, highly ornamental",
 frivolous,"carefree, not having any serious purpose",
 heterogeneous,diverse in character or content,
 imperious,arrogant and domineering,
 impertinent,"not showing proper respect, irrelevant",
 invasive,"tending to spread very quickly or undesirably, harmfully",
 irresolute,showing or feeling hesitancy; uncertain,
 laudable,deserving praise and commendation,
 lax,"not sufficiently strict or careful, negligible / of muscle(relaxed)",
 marginalize,"treat a person, group as insignificant or peripheral",
 panache,flamboyant confidence of style or manner,
 plodding,slow moving and unexciting,
 prosaic,"lacking originality, commonplace, unromantic",
 remedial,intended as cure/provided or intended for children with learning difficulties,
 restive,"unable to remain still, silent, or submissive, especially because of boredom",
 sporadic,"infrequent, scattered or isolated, occasional",
 stigmatize,great disapproval,
 undermine,erode the base/ lessen the effectiveness,
 utterly,"completely or without qualification, absolutely",
 weary,tired(extreme),
 zealous,"showing zeal, fervent, passionate, fervid, ardent",
 admonish,warn or reprimand someone firmly,
 aesthetic,concerned with beauty,
 affectation,"pretension, facade",
 alleviate,make suffering less severe,
 analogous,comparable in certain respects,
 bolster,support or strength,
 chauvinistic,"displaying aggressive patriotism, displaying excessive support for their own cause, group or sex",
 connoisseur,an expert judge in matters of taste,
 dissemble,conceal or disguise one's true feelings or beliefs,
 dogged,showing tenacity and grim persistence,
 dupe,"trick, a victim of deception",
 empirical,based on observation rather than theory,
 engender,cause or give rise to a feeling situation,
 entitled,give someone a legal right,
 pertinacious,holding firmly to an opinion or a cause of action,
 presumptuous,failing to observe limits of what is appropriate/ brazen,
 probity,"having strong moral principles, honesty and decency",
 proliferate,"increase rapidly in number, multiply",
 specious,superficially plausible but actually wrong,
 spurious,"not being what it purports to be, false or fake",
 subjective,"influenced by personal feelings, tastes, opinions",
 subvert,undermine the power and authority of system,
 timorous,"lack of confidence, easily frightened",
 tortuous,full of twists and turns excessively complex,
 tractable,"easy to control or influence, easy to deal with",
 transient,lasting for a short time,
 ubiquitous,"present, appearing or found everywhere, omnipresent",
 underscore,emphasize,
 venal,"bribery, corrupt",
 venerate,"regard with great respect, reverence",
 appease,"pacify or placate, assuage or satisfy",
 arbitrary,based on random choice/ unrestrained and autocratic in the use of authority,
 archaic,very old or old-fashioned,
 clamorous,making loud and confused noise/expressing or characterized by vehement protects or demands,
 dearth,a scarcity or lack of something,
 explicable,"able to be accounted for or understood, explainable",
 hyperbole,exaggerated statements or claims not meant to be taken literally,
 immutable,unable to be changed,
 indefatigable,"persisting tireless, tireless, untiring",
 indolent,"lazy, idle/ (of medicine) no or little pain",
 insular,"uninterested in cultures, ideas, or peoples outside one’s own experience, lacking contact with other people",
 intransigent,"unwilling to change one's views, uncompromising",
 intrepid,"fearless, adventurous (often used for humorous effect)",
 irreverent,showing lack of respect for people or things that are generally taken seriously,
 loathe,intense dislike or disgust for,
 malign,"evil in nature, speak about someone in a spitefully critical manner",
 malleable,"easily influenced, pliable",
 neophyte,"a person who is new to a subject, activity, or religion",
 plastic,easily shaped/artificial/offering scope for creativity,
 platitude,used too often to be interesting or thoughtful,
 prescient,showing knowledge of events before they take place,
 pristine,"spotless, clean and fresh, immaculate",
 reproach,expression of disapproval,
 robust,vigorous/ able to withstand adverse conditions/ forceful,
 salubrious,"healthy, pleasant",
 sanction,official permission/ a threatened penalty for disobeying rule,
 sedulous,showing dedication and diligence,
 soporific,tediously boring or monotonous,
 stern,"serious, strict and severe",
 tendentious,intending to promote a point of view (controversial one),
 accentuate,make more noticeable or prominent,
 conjectural,"based on or involving conjecture, speculative",
 convivial,"friendly, lively and enjoyable",
 decadent,"characterized by a state of moral or cultural decline, person who is luxuriously self-indulgent",
 egregious,"outstandingly bad, shocking",
 evanescent,"soon passing out of sight, memory or existence, quickly fading or disappearing",
 flamboyant,"tending to attract attention because of confidence, stylishness/ bright, colorful and noticeable",
 forestall,prevent or obstruct by taking advanced action,
 gainsay,"deny, contradict, speak against or oppose",
 galvanize,shock or excite someone into taking action,
 indiscriminate,done at random or without careful judgment,
 innocuous,not harmful or offensive,
 momentary,"lasting very short time, brief",
 mundane,"lacking interest or excitement, dull",
 nettlesome,causing annoyance or difficulty,
 nullify,"make null and void, invalidate",
 obviate,"remove, avoid or prevent",
 omnipresent,"widespread, constantly encountered",
 oust,drive out or expel from a position or place,
 palpable,"so intense as to seem, almost tangible/ plain to see or comprehend, able to be touched or felt",
 perfidy,state of being deceitful and untrustworthy,
 profuse,abundant,
 pugnacious,"eager to argue, quarrel or fight",
 sagacious,"wise or shrewd, intelligent",
 sanguine,"optimistic, positive/blood-red",
 scant,insufficient or barely sufficient,
 skulduggery,dishonest behavior or activities/ trickery,
 trivial,of little value or importance,
 utilitarian,designed to be useful or practical rather,
 vapid,offering nothing that is stimulating or challenging/ bland,
 boorish,"rough and bad-mannered, coarse",
 brook,a small stream,
 circumspect,"wary, cautious",
 comity,an association of nations for their mutual benefit/ considerate behavior towards others,
 commensurate,"corresponding in size or degree, in proportion",
 cordial,warm and friendly,
 deleterious,causing harm,
 dichotomy,a division or contrast between two things that are or are represented as being opposed or entirely different,
 edify,instruct or improve (someone) morally or intellectually,
 elicit,evoke or draw out (a reaction answer) from someone,
 erudite,having or showing great knowledge or learning,
 fecund,highly fertile,
 feeble,lacking physical strength/ lacking strength of character/ failing to convince or impress,
 felicitous,well chosen or suited to the circumstances/ pleasing,
 forbear,refrain from doing something,
 haphazard,lacking any obvious principle of organization,
 hodgepodge,a confused mixture,
 impede,hinder,
 impetuous,acting or done quickly and without thought or care,
 irascible,having or showing a tendency to be easily agreed,
 mercenary,making money at the expense of ethics/ a professional soldier hired to serve in a foreign army,
 meticulous,very careful and precious,
 mordant,"(humor) having or showing a sharp or critical quality, biting",
 outstrip,move faster and overtake/ exceed,
 precarious,not securely held or in position; dangerously likely to fall or collapse/ uncertain,
 quirky,having or characterized by peculiar or unexpected traits or aspects,
 repudiate,refuse to accept/ deny the truth or validity,
 tact,skill and sensitivity in dealing with others or with difficult issues,
 trifling,unimportant or trivial,
 turbulent,"characterized by conflict, disorder/ not stable",
 acumen,the ability to make good judgments and take quick decisions,
 antithesis,contrast or opposition between two things,
 ascribe,"regard text, quotation or work/ regard a quality as belonging to",
 befuddled,unable to think clearly,
 eschew,deliberately avoid using; abstain from,
 esoteric,likely to be understood by only a small number of people/ abstruse/ arcane/ obscure,
 evasive,tending to avoid commitment or self-revelation,
 exculpate,show or declare that someone is not guilty of wrongdoing,
 expedite,make (an action) happen sooner or be accomplished more quickly,
 fastidious,very attentive and concerned about accuracy and detail,
 feign,"pretend to be affected by (a feeling, state or injury)",
 furtive,secretive/ suggestive of guilty nervousness,
 hamper,basket/ hinder,
 indispensable,absolutely necessary,
 lament,a passionate expression of grief or sorrow,
 myopic,short-sighted,
 nonchalant,calm and relaxed/ not displaying anxiety,
 partial,incomplete/ biased/ having a liking for,
 pensive,engaged in serious thought,
 portend,be a sign or warning that something calamitous is likely to happen,
 provincial,concerning a province of a country/religions regarded as narrow-minded,
 rudimentary,limited to basic principles/ relating to immature form,
 salutary,producing good efforts/ beneficial,
 sever,"divide by cutting or slicing, suddenly and forcibly/ put to an end/ break off",
 slight,small in degree/ inconsiderate/ insult by treating without proper respect,
 somnolent,"sleepy, drowsy",
 stoic,a person who can endure pain without complaining,
 supersede,take the place of other/ supplant,
 tout,attempt to sell/ attempt to persuade people of the merits of/ informer,
 wane,"decrease in vigor or extent, become weaker",
 abhor,regard with disgust and hatred,
 boisterous,"noisy, energetic and cheerful/(of weather) stormy",
 chivalrous,courteous and gallant especially towards women,
 churlish,rude in a mean-spirited and surly way,
 clandestine,kept secret or done secretively,
 complacent,showing smug or uncritical satisfaction with oneself or one's achievements/ self-satisfied,
 cumbersome,"large or heavy and therefore difficult to carry or use/ unwieldy/ complicated, inefficient",
 debilitating,"make someone weak and infirm/ hinder, delay",
 deliberate,done consciously and intentionally,
 droll,curious or unusual in a way that provokes dry amusement/ funny/ comic/ amusing,
 eccentric,(of a person) unconventional and slightly strange,
 fractious,"irritable and quarrelsome/ difficult to control, unruly",
 limpid,completely clear and transparent/ accessible or melodious,
 mawkish,sentimental in an exaggerated or false way,
 obeisance,"deferential respect, bow or curtsy",
 ostentatious,characterized by pretentious or showy display; designed to impress,
 panacea,a solution or remedy for all difficulties or diseases,
 perfunctory,"carried out without real interest, feeling/ desultory",
 perilous,fall of danger or risk,
 pervasive,(unwelcome influence) spreading widely throughout an area or a group of people,
 preclude,prevent from happening; make impossible,
 predilection,a preference or special liking for something/ bias in favor,
 rapacious,aggressively greedy or grasping,
 relish,great enjoyment/ pleasurable anticipation,
 satirical,containing or using satire/ mocking another's weakness,
 sham,a person who pretends to be someone or something they are not,
 skirt,be situated along or around the edge of/ avoid dealing with,
 sluggish,"slow moving, lacking energy or alertness",
 spartan,austerity or lack of comfort or luxury/ harsh/ hard/ frugal,
 truculent,eager to argue; aggressively defiant,
 acrimonious,angry and bitter,
 belligerent,hostile and aggressive,
 beneficent,generous and doing good,
 canny,showing shrewdness and good judgment especially in money or business,
 cavalier,dashing man as a lady's escort/ showing lack of concern,
 distressed,"suffering from extreme anxiety, sorrow or pain",
 dwindling,"gradually diminishing in size, amount or strength",
 eclipse,deprive something of significance and power,
 encyclopedia,comprehensive in terms of information,
 exacerbate,make problems worse,
 exasperated,intensely irritated and frustrated,
 fungible,mutually interchangeable,
 hackneyed,having been overused; unoriginal and trite,
 incongruous,not in harmony or keeping with surroundings,
 interchangeable,apparently identical,
 laconic,using very few words,
 lucrative,providing a great deal or profit,
 magisterial,"domineering, dictatorial",
 onerous,"involving great deal of effort, trouble, and burdensome",
 opprobrium,harsh criticism or censure,
 parsimonious,very unwilling to spend money or use resources,
 peripheral,"minor importance, marginal",
 provocative,"causing anger or another strong reaction, especially deliberately/ annoying",
 renounce,formally declare one's abandonment,
 tempestuous,characterized by strong or conflicting emotion,
 tenable,defensible,
 transgression,act that goes against law,
 urbane,courteous and refined in manner,
 verisimilitude,the appearance of being true or real,
 vitiate,spoil or impair thee quality or efficiency of something,
 affinity,a natural liking for something/ resemblance,
 altruistic,selfless,
 baroque,highly ornate and extravagant in style,
 byzantine,excessively complicated/ characterized by deviousness,
 compromise,agreement/ harm by accepting standards that are lower than is desirable/ cause to become vulnerable,
 conciliatory,intended or likely to placate or pacify,
 countenance,facial expression/ support or approval,
 covert,"not openly acknowledged or displayed/secretive, clandestine",
 credible,"able to be believed, trustworthy",
 diffuse,"spread out/ lacking clarity or conciseness, verbose",
 documentary,"based on official documents or aspects, comprehensive",
 exhaustive,"including all elements or aspects, comprehensive",
 exhilarating,"thrilling, making one feel very happy, animated",
 extraneous,irrelevant or unrelated to the subject,
 fervor,intense and passionate feeling,
 futile,"fruitless, pointless",
 illusory,based on illusion,
 invidious,"unpleasant, illusion",
 lethargic,"sluggish, lazy",
 metaphorical,figurative,
 mimic,imitate,
 numinous,having strong religious or spiritual quality,
 obscure,not discovered or known about/ abstruse,
 overt,done or shown openly,
 pellucid,"clear, easily understood",
 perpetuate,make (something) continue indefinitely,
 rational,based on or in accordance with reason or logic,
 scathing,scornful/ harm,
 subtle,delicately complex/ making use of clever and indirect methods to achieve something,
 superficial,appearing to be true but not/ cursory/ not through,
 acquiesce,accept something reluctantly without protest,
 adroit,clever or skillful,
 amend,improve by minor change,
 animus,hostility or ill feeling/ motivation to do something,
 apologist,a person who offers an argument in defense of something controversial/ defender,
 astringent,sharp or severe in manner or style/ causing the contraction of skin cells and other body tissues,
 collaborate,work jointly on an activity or project/ corporate,
 competent,efficient and capable,
 correlate,"correspond, connect",
 deride,ridicule,
 dictate,an order or principle that must be obeyed/ give orders,
 discreet,careful in order to keep something confidential/ intentionally unobtrusive,
 divorced,separate from something typically with an undesirable effect,
 elitist,demonstrating a superior attitude or behavior associated with an elite,
 exacting,demanding/ inflict (revenge) on someone,
 flummoxed,bewildered or perplexed,
 fruitful,"fertile, productive",
 inborn,"natural to a person, or animal",
 polymath,a person of wide knowledge or learning,
 reticent,"reserved, not revealing one's feelings readily",
 stringent,"strict, precise and exacting",
 subservient,"prepared to obey others unquestioningly, subordinate",
 surreptitious,"keep secret, especially because it would not be approved of",
 tantalizing,torment or teasing with the sight or promise of something unobtainable,
 tantamount,equivalent in seriousness to; virtually the same as,
 torpor,"a state of physical or mental inactivity, lethargy",
